Shortcut,Code,B&F,Taxon,Vernacular,Taxon group,Grade,specific
cafig,62.066,1477,Cadra figulilella,Raisin Moth,Micro-moth,4,figulilella
raisin moth,62.066,1477,Cadra figulilella,Raisin Moth,Micro-moth,4,figulilella
62.067,62.067,1476,Cadra cautella,Dried Currant Moth,Micro-moth,4,cautella
1476,62.067,1476,Cadra cautella,Dried Currant Moth,Micro-moth,4,cautella
cacau,62.067,1476,Cadra cautella,Dried Currant Moth,Micro-moth,4,cautella
cadra cautella,62.067,1476,Cadra cautella,Dried Currant Moth,Micro-moth,4,cautella
dried currant moth,62.067,1476,Cadra cautella,Dried Currant Moth,Micro-moth,4,cautella
62.068,62.068,1478,Cadra calidella,Dried Fruit Moth,Micro-moth,4,calidella
1478,62.068,1478,Cadra calidella,Dried Fruit Moth,Micro-moth,4,calidella
cacal,62.068,1478,Cadra calidella,Dried Fruit Moth,Micro-moth,4,calidella
cadra calidella,62.068,1478,Cadra calidella,Dried Fruit Moth,Micro-moth,4,calidella
dried fruit moth,62.068,1478,Cadra calidella,Dried Fruit Moth,Micro-moth,4,calidella
62.069,62.069,1432,Anerastia lotella,Sandhill Knot-horn,Micro-moth,2,lotella
1432,62.069,1432,Anerastia lotella,Sandhill Knot-horn,Micro-moth,2,lotella
anerastia lotella,62.069,1432,Anerastia lotella,Sandhill Knot-horn,Micro-moth,2,lotella
anlot,62.069,1432,Anerastia lotella,Sandhill Knot-horn,Micro-moth,2,lotella
sandhill knot-horn,62.069,1432,Anerastia lotella,Sandhill Knot-horn,Micro-moth,2,lotella
62.07,62.07,1414,Synaphe punctalis,Long-legged Tabby,Micro-moth,1,punctalis
1414,62.07,1414,Synaphe punctalis,Long-legged Tabby,Micro-moth,1,punctalis
long-legged tabby,62.07,1414,Synaphe punctalis,Long-legged Tabby,Micro-moth,1,punctalis
synaphe punctalis,62.07,1414,Synaphe punctalis,Long-legged Tabby,Micro-moth,1,punctalis
sypun,62.07,1414,Synaphe punctalis,Long-legged Tabby,Micro-moth,1,punctalis
62.071,62.071,1416,Pyralis lienigialis,Scarce Tabby,Micro-moth,2,lienigialis
1416,62.071,1416,Pyralis lienigialis,Scarce Tabby,Micro-moth,2,lienigialis
pylie,62.071,1416,Pyralis lienigialis,Scarce Tabby,Micro-moth,2,lienigialis
pyralis lienigialis,62.071,1416,Pyralis lienigialis,Scarce Tabby,Micro-moth,2,lienigialis
scarce tabby,62.071,1416,Pyralis lienigialis,Scarce Tabby,Micro-moth,2,lienigialis
62.0711,62.0711,1419,Pyralis pictalis,Painted Meal Moth,Micro-moth,3,pictalis
1419,62.0711,1419,Pyralis pictalis,Painted Meal Moth,Micro-moth,3,pictalis
painted meal moth,62.0711,1419,Pyralis pictalis,Painted Meal Moth,Micro-moth,3,pictalis
pypic,62.0711,1419,Pyralis pictalis,Painted Meal Moth,Micro-moth,3,pictalis
pyralis pictalis,62.0711,1419,Pyralis pictalis,Painted Meal Moth,Micro-moth,3,pictalis
62.0712,62.0712,1418,Pyralis manihotalis,Tropical Tabby,Micro-moth,3,manihotalis
1418,62.0712,1418,Pyralis manihotalis,Tropical Tabby,Micro-moth,3,manihotalis
pyman,62.0712,1418,Pyralis manihotalis,Tropical Tabby,Micro-moth,3,manihotalis
pyralis manihotalis,62.0712,1418,Pyralis manihotalis,Tropical Tabby,Micro-moth,3,manihotalis
tropical tabby,62.0712,1418,Pyralis manihotalis,Tropical Tabby,Micro-moth,3,manihotalis
62.072,62.072,1417,Pyralis farinalis,Meal Moth,Micro-moth,1,farinalis
1417,62.072,1417,Pyralis farinalis,Meal Moth,Micro-moth,1,farinalis
meal moth,62.072,1417,Pyralis farinalis,Meal Moth,Micro-moth,1,farinalis
pyfar,62.072,1417,Pyralis farinalis,Meal Moth,Micro-moth,1,farinalis
pyralis farinalis,62.072,1417,Pyralis farinalis,Meal Moth,Micro-moth,1,farinalis
62.0721,62.0721,1422,Aglossa dimidiatus,Tea Tabby,Micro-moth,3,dimidiatus
1422,62.0721,1422,Aglossa dimidiatus,Tea Tabby,Micro-moth,3,dimidiatus
agdim,62.0721,1422,Aglossa dimidiatus,Tea Tabby,Micro-moth,3,dimidiatus
aglossa dimidiatus,62.0721,1422,Aglossa dimidiatus,Tea Tabby,Micro-moth,3,dimidiatus
tea tabby,62.0721,1422,Aglossa dimidiatus,Tea Tabby,Micro-moth,3,dimidiatus
62.0722,62.0722,1423,Aglossa ocellalis,Ringed Tabby,Micro-moth,3,ocellalis
1423,62.0722,1423,Aglossa ocellalis,Ringed Tabby,Micro-moth,3,ocellalis
aglossa ocellalis,62.0722,1423,Aglossa ocellalis,Ringed Tabby,Micro-moth,3,ocellalis
agoce2,62.0722,1423,Aglossa ocellalis,Ringed Tabby,Micro-moth,3,ocellalis
ringed tabby,62.0722,1423,Aglossa ocellalis,Ringed Tabby,Micro-moth,3,ocellalis
62.073,62.073,1420,Aglossa caprealis,Small Tabby,Micro-moth,2,caprealis
1420,62.073,1420,Aglossa caprealis,Small Tabby,Micro-moth,2,caprealis
