Shortcut,Code,B&F,Taxon,Vernacular,Taxon group,Grade,specific
1,1.001,1,Micropterix tunbergella,Red-barred Gold,Micro-moth,1,tunbergella
1.001,1.001,1,Micropterix tunbergella,Red-barred Gold,Micro-moth,1,tunbergella
micropterix tunbergella,1.001,1,Micropterix tunbergella,Red-barred Gold,Micro-moth,1,tunbergella
mitun,1.001,1,Micropterix tunbergella,Red-barred Gold,Micro-moth,1,tunbergella
red-barred gold,1.001,1,Micropterix tunbergella,Red-barred Gold,Micro-moth,1,tunbergella
1.002,1.002,2,Micropterix mansuetella,Black-headed Gold,Micro-moth,1,mansuetella
2,1.002,2,Micropterix mansuetella,Black-headed Gold,Micro-moth,1,mansuetella
black-headed gold,1.002,2,Micropterix mansuetella,Black-headed Gold,Micro-moth,1,mansuetella
micropterix mansuetella,1.002,2,Micropterix mansuetella,Black-headed Gold,Micro-moth,1,mansuetella
miman,1.002,2,Micropterix mansuetella,Black-headed Gold,Micro-moth,1,mansuetella
1.003,1.003,3,Micropterix aureatella,Yellow-barred Gold,Micro-moth,1,aureatella
3,1.003,3,Micropterix aureatella,Yellow-barred Gold,Micro-moth,1,aureatella
miaur,1.003,3,Micropterix aureatella,Yellow-barred Gold,Micro-moth,1,aureatella
micropterix aureatella,1.003,3,Micropterix aureatella,Yellow-barred Gold,Micro-moth,1,aureatella
yellow-barred gold,1.003,3,Micropterix aureatella,Yellow-barred Gold,Micro-moth,1,aureatella
1.004,1.004,4,Micropterix aruncella,White-barred Gold,Micro-moth,2,aruncella
4,1.004,4,Micropterix aruncella,White-barred Gold,Micro-moth,2,aruncella
miaru,1.004,4,Micropterix aruncella,White-barred Gold,Micro-moth,2,aruncella
micropterix aruncella,1.004,4,Micropterix aruncella,White-barred Gold,Micro-moth,2,aruncella
white-barred gold,1.004,4,Micropterix aruncella,White-barred Gold,Micro-moth,2,aruncella
1.005,1.005,5,Micropterix calthella,Plain Gold,Micro-moth,2,calthella
5,1.005,5,Micropterix calthella,Plain Gold,Micro-moth,2,calthella
mical,1.005,5,Micropterix calthella,Plain Gold,Micro-moth,2,calthella
micropterix calthella,1.005,5,Micropterix calthella,Plain Gold,Micro-moth,2,calthella
plain gold,1.005,5,Micropterix calthella,Plain Gold,Micro-moth,2,calthella
2.001,2.001,6,Dyseriocrania subpurpurella,Common Oak Purple,Micro-moth,2,subpurpurella
6,2.001,6,Dyseriocrania subpurpurella,Common Oak Purple,Micro-moth,2,subpurpurella
common oak purple,2.001,6,Dyseriocrania subpurpurella,Common Oak Purple,Micro-moth,2,subpurpurella
dyseriocrania subpurpurella,2.001,6,Dyseriocrania subpurpurella,Common Oak Purple,Micro-moth,2,subpurpurella
dysub,2.001,6,Dyseriocrania subpurpurella,Common Oak Purple,Micro-moth,2,subpurpurella
2.002,2.002,7,Paracrania chrysolepidella,Small Hazel Purple,Micro-moth,3,chrysolepidella
7,2.002,7,Paracrania chrysolepidella,Small Hazel Purple,Micro-moth,3,chrysolepidella
pachr,2.002,7,Paracrania chrysolepidella,Small Hazel Purple,Micro-moth,3,chrysolepidella
paracrania chrysolepidella,2.002,7,Paracrania chrysolepidella,Small Hazel Purple,Micro-moth,3,chrysolepidella
small hazel purple,2.002,7,Paracrania chrysolepidella,Small Hazel Purple,Micro-moth,3,chrysolepidella
2.003,2.003,8,Eriocrania unimaculella,White-spot Purple,Micro-moth,2,unimaculella
8,2.003,8,Eriocrania unimaculella,White-spot Purple,Micro-moth,2,unimaculella
eriocrania unimaculella,2.003,8,Eriocrania unimaculella,White-spot Purple,Micro-moth,2,unimaculella
eruni,2.003,8,Eriocrania unimaculella,White-spot Purple,Micro-moth,2,unimaculella
white-spot purple,2.003,8,Eriocrania unimaculella,White-spot Purple,Micro-moth,2,unimaculella
2.004,2.004,9,Eriocrania sparrmannella,Mottled Purple,Micro-moth,2,sparrmannella
9,2.004,9,Eriocrania sparrmannella,Mottled Purple,Micro-moth,2,sparrmannella
eriocrania sparrmannella,2.004,9,Eriocrania sparrmannella,Mottled Purple,Micro-moth,2,sparrmannella
erspa,2.004,9,Eriocrania sparrmannella,Mottled Purple,Micro-moth,2,sparrmannella
mottled purple,2.004,9,Eriocrania sparrmannella,Mottled Purple,Micro-moth,2,sparrmannella
2.005,2.005,10,Eriocrania salopiella,Small Birch Purple,Micro-moth,2,salopiella
10,2.005,10,Eriocrania salopiella,Small Birch Purple,Micro-moth,2,salopiella
eriocrania salopiella,2.005,10,Eriocrania salopiella,Small Birch Purple,Micro-moth,2,salopiella
ersal,2.005,10,Eriocrania salopiella,Small Birch Purple,Micro-moth,2,salopiella
small birch purple,2.005,10,Eriocrania salopiella,Small Birch Purple,Micro-moth,2,salopiella
2.006,2.006,11,Eriocrania cicatricella,Washed Purple,Micro-moth,4,cicatricella
11,2.006,11,Eriocrania cicatricella,Washed Purple,Micro-moth,4,cicatricella
ercic,2.006,11,Eriocrania cicatricella,Washed Purple,Micro-moth,4,cicatricella
eriocrania cicatricella,2.006,11,Eriocrania cicatricella,Washed Purple,Micro-moth,4,cicatricella
washed purple,2.006,11,Eriocrania cicatricella,Washed Purple,Micro-moth,4,cicatricella
2.007,2.007,13,Eriocrania semipurpurella,Early Purple,Micro-moth,4,semipurpurella
13,2.007,13,Eriocrania semipurpurella,Early Purple,Micro-moth,4,semipurpurella
early purple,2.007,13,Eriocrania semipurpurella,Early Purple,Micro-moth,4,semipurpurella
eriocrania semipurpurella,2.007,13,Eriocrania semipurpurella,Early Purple,Micro-moth,4,semipurpurella
ersem,2.007,13,Eriocrania semipurpurella,Early Purple,Micro-moth,4,semipurpurella
2.008,2.008,12,Eriocrania sangii,Large Birch Purple,Micro-moth,4,sangii
12,2.008,12,Eriocrania sangii,Large Birch Purple,Micro-moth,4,sangii
eriocrania sangii,2.008,12,Eriocrania sangii,Large Birch Purple,Micro-moth,4,sangii
ersan,2.008,12,Eriocrania sangii,Large Birch Purple,Micro-moth,4,sangii
large birch purple,2.008,12,Eriocrania sangii,Large Birch Purple,Micro-moth,4,sangii
3.001,3.001,15,Triodia sylvina,Orange Swift,Macro-moth,1,sylvina
15,3.001,15,Triodia sylvina,Orange Swift,Macro-moth,1,sylvina
osw,3.001,15,Triodia sylvina,Orange Swift,Macro-moth,1,sylvina
triodia sylvina,3.001,15,Triodia sylvina,Orange Swift,Macro-moth,1,sylvina
trsyl,3.001,15,Triodia sylvina,Orange Swift,Macro-moth,1,sylvina
3.002,3.002,17,Korscheltellus lupulina,Common Swift,Macro-moth,1,lupulina
17,3.002,17,Korscheltellus lupulina,Common Swift,Macro-moth,1,lupulina
coswi,3.002,17,Korscheltellus lupulina,Common Swift,Macro-moth,1,lupulina
cs,3.002,17,Korscheltellus lupulina,Common Swift,Macro-moth,1,lupulina
korscheltellus lupulina,3.002,17,Korscheltellus lupulina,Common Swift,Macro-moth,1,lupulina
3.003,3.003,18,Korscheltellus fusconebulosa,Map-winged Swift,Macro-moth,2,fusconebulosa
18,3.003,18,Korscheltellus fusconebulosa,Map-winged Swift,Macro-moth,2,fusconebulosa
kofus,3.003,18,Korscheltellus fusconebulosa,Map-winged Swift,Macro-moth,2,fusconebulosa
korscheltellus fusconebulosa,3.003,18,Korscheltellus fusconebulosa,Map-winged Swift,Macro-moth,2,fusconebulosa
map-winged swift,3.003,18,Korscheltellus fusconebulosa,Map-winged Swift,Macro-moth,2,fusconebulosa
3.004,3.004,16,Phymatopus hecta,Gold Swift,Macro-moth,1,hecta
16,3.004,16,Phymatopus hecta,Gold Swift,Macro-moth,1,hecta
gold swift,3.004,16,Phymatopus hecta,Gold Swift,Macro-moth,1,hecta
phhec,3.004,16,Phymatopus hecta,Gold Swift,Macro-moth,1,hecta
phymatopus hecta,3.004,16,Phymatopus hecta,Gold Swift,Macro-moth,1,hecta
3.005,3.005,14,Hepialus humuli,Ghost Moth,Macro-moth,1,humuli
14,3.005,14,Hepialus humuli,Ghost Moth,Macro-moth,1,humuli
ghost moth,3.005,14,Hepialus humuli,Ghost Moth,Macro-moth,1,humuli
hehum,3.005,14,Hepialus humuli,Ghost Moth,Macro-moth,1,humuli
hepialus humuli,3.005,14,Hepialus humuli,Ghost Moth,Macro-moth,1,humuli
4.001,4.001,118,Enteucha acetosae,Sorrel Pigmy,Micro-moth,Ungraded,acetosae
118,4.001,118,Enteucha acetosae,Sorrel Pigmy,Micro-moth,Ungraded,acetosae
enace,4.001,118,Enteucha acetosae,Sorrel Pigmy,Micro-moth,Ungraded,acetosae
enteucha acetosae,4.001,118,Enteucha acetosae,Sorrel Pigmy,Micro-moth,Ungraded,acetosae
sorrel pigmy,4.001,118,Enteucha acetosae,Sorrel Pigmy,Micro-moth,Ungraded,acetosae
4.002,4.002,116,Stigmella lapponica,Drab Birch Pigmy,Micro-moth,Ungraded,lapponica
116,4.002,116,Stigmella lapponica,Drab Birch Pigmy,Micro-moth,Ungraded,lapponica
drab birch pigmy,4.002,116,Stigmella lapponica,Drab Birch Pigmy,Micro-moth,Ungraded,lapponica
stigmella lapponica,4.002,116,Stigmella lapponica,Drab Birch Pigmy,Micro-moth,Ungraded,lapponica
stlap,4.002,116,Stigmella lapponica,Drab Birch Pigmy,Micro-moth,Ungraded,lapponica
4.003,4.003,117,Stigmella confusella,Pale Birch Pigmy,Micro-moth,Ungraded,confusella
117,4.003,117,Stigmella confusella,Pale Birch Pigmy,Micro-moth,Ungraded,confusella
pale birch pigmy,4.003,117,Stigmella confusella,Pale Birch Pigmy,Micro-moth,Ungraded,confusella
stcon1,4.003,117,Stigmella confusella,Pale Birch Pigmy,Micro-moth,Ungraded,confusella
stigmella confusella,4.003,117,Stigmella confusella,Pale Birch Pigmy,Micro-moth,Ungraded,confusella
4.004,4.004,90,Stigmella tiliae,Lime Pigmy,Micro-moth,Ungraded,tiliae
90,4.004,90,Stigmella tiliae,Lime Pigmy,Micro-moth,Ungraded,tiliae
lime pigmy,4.004,90,Stigmella tiliae,Lime Pigmy,Micro-moth,Ungraded,tiliae
stigmella tiliae,4.004,90,Stigmella tiliae,Lime Pigmy,Micro-moth,Ungraded,tiliae
sttil,4.004,90,Stigmella tiliae,Lime Pigmy,Micro-moth,Ungraded,tiliae
4.005,4.005,110,Stigmella betulicola,Common Birch Pigmy,Micro-moth,Ungraded,betulicola
110,4.005,110,Stigmella betulicola,Common Birch Pigmy,Micro-moth,Ungraded,betulicola
common birch pigmy,4.005,110,Stigmella betulicola,Common Birch Pigmy,Micro-moth,Ungraded,betulicola
stbet,4.005,110,Stigmella betulicola,Common Birch Pigmy,Micro-moth,Ungraded,betulicola
stigmella betulicola,4.005,110,Stigmella betulicola,Common Birch Pigmy,Micro-moth,Ungraded,betulicola
4.006,4.006,113,Stigmella sakhalinella,Small Birch Pigmy,Micro-moth,Ungraded,sakhalinella
113,4.006,113,Stigmella sakhalinella,Small Birch Pigmy,Micro-moth,Ungraded,sakhalinella
small birch pigmy,4.006,113,Stigmella sakhalinella,Small Birch Pigmy,Micro-moth,Ungraded,sakhalinella
stigmella sakhalinella,4.006,113,Stigmella sakhalinella,Small Birch Pigmy,Micro-moth,Ungraded,sakhalinella
stsak,4.006,113,Stigmella sakhalinella,Small Birch Pigmy,Micro-moth,Ungraded,sakhalinella
4.007,4.007,112,Stigmella luteella,Short-barred Pigmy,Micro-moth,Ungraded,luteella
112,4.007,112,Stigmella luteella,Short-barred Pigmy,Micro-moth,Ungraded,luteella
short-barred pigmy,4.007,112,Stigmella luteella,Short-barred Pigmy,Micro-moth,Ungraded,luteella
stigmella luteella,4.007,112,Stigmella luteella,Short-barred Pigmy,Micro-moth,Ungraded,luteella
stlut,4.007,112,Stigmella luteella,Short-barred Pigmy,Micro-moth,Ungraded,luteella
4.008,4.008,114,Stigmella glutinosae,White-barred Alder Pigmy,Micro-moth,Ungraded,glutinosae
114,4.008,114,Stigmella glutinosae,White-barred Alder Pigmy,Micro-moth,Ungraded,glutinosae
stglu,4.008,114,Stigmella glutinosae,White-barred Alder Pigmy,Micro-moth,Ungraded,glutinosae
stigmella glutinosae,4.008,114,Stigmella glutinosae,White-barred Alder Pigmy,Micro-moth,Ungraded,glutinosae
white-barred alder pigmy,4.008,114,Stigmella glutinosae,White-barred Alder Pigmy,Micro-moth,Ungraded,glutinosae
4.009,4.009,115,Stigmella alnetella,Silver-barred Alder Pigmy,Micro-moth,Ungraded,alnetella
115,4.009,115,Stigmella alnetella,Silver-barred Alder Pigmy,Micro-moth,Ungraded,alnetella
silver-barred alder pigmy,4.009,115,Stigmella alnetella,Silver-barred Alder Pigmy,Micro-moth,Ungraded,alnetella
staln,4.009,115,Stigmella alnetella,Silver-barred Alder Pigmy,Micro-moth,Ungraded,alnetella
stigmella alnetella,4.009,115,Stigmella alnetella,Silver-barred Alder Pigmy,Micro-moth,Ungraded,alnetella
4.01,4.01,111,Stigmella microtheriella,Nut-tree Pigmy,Micro-moth,Ungraded,microtheriella
111,4.01,111,Stigmella microtheriella,Nut-tree Pigmy,Micro-moth,Ungraded,microtheriella
nut-tree pigmy,4.01,111,Stigmella microtheriella,Nut-tree Pigmy,Micro-moth,Ungraded,microtheriella
stigmella microtheriella,4.01,111,Stigmella microtheriella,Nut-tree Pigmy,Micro-moth,Ungraded,microtheriella
stmic,4.01,111,Stigmella microtheriella,Nut-tree Pigmy,Micro-moth,Ungraded,microtheriella
4.011,4.011,109,Stigmella prunetorum,Scarce Sloe Pigmy,Micro-moth,Ungraded,prunetorum
109,4.011,109,Stigmella prunetorum,Scarce Sloe Pigmy,Micro-moth,Ungraded,prunetorum
scarce sloe pigmy,4.011,109,Stigmella prunetorum,Scarce Sloe Pigmy,Micro-moth,Ungraded,prunetorum
stigmella prunetorum,4.011,109,Stigmella prunetorum,Scarce Sloe Pigmy,Micro-moth,Ungraded,prunetorum
stpru,4.011,109,Stigmella prunetorum,Scarce Sloe Pigmy,Micro-moth,Ungraded,prunetorum
4.012,4.012,102,Stigmella aceris,Scarce Maple Pigmy,Micro-moth,Ungraded,aceris
102,4.012,102,Stigmella aceris,Scarce Maple Pigmy,Micro-moth,Ungraded,aceris
scarce maple pigmy,4.012,102,Stigmella aceris,Scarce Maple Pigmy,Micro-moth,Ungraded,aceris
stace,4.012,102,Stigmella aceris,Scarce Maple Pigmy,Micro-moth,Ungraded,aceris
stigmella aceris,4.012,102,Stigmella aceris,Scarce Maple Pigmy,Micro-moth,Ungraded,aceris
4.013,4.013,97,Stigmella malella,Apple Pigmy,Micro-moth,Ungraded,malella
97,4.013,97,Stigmella malella,Apple Pigmy,Micro-moth,Ungraded,malella
apple pigmy,4.013,97,Stigmella malella,Apple Pigmy,Micro-moth,Ungraded,malella
stigmella malella,4.013,97,Stigmella malella,Apple Pigmy,Micro-moth,Ungraded,malella
stmal,4.013,97,Stigmella malella,Apple Pigmy,Micro-moth,Ungraded,malella
4.014,4.014,98,Stigmella catharticella,Buckthorn Pigmy,Micro-moth,Ungraded,catharticella
98,4.014,98,Stigmella catharticella,Buckthorn Pigmy,Micro-moth,Ungraded,catharticella
buckthorn pigmy,4.014,98,Stigmella catharticella,Buckthorn Pigmy,Micro-moth,Ungraded,catharticella
stcat,4.014,98,Stigmella catharticella,Buckthorn Pigmy,Micro-moth,Ungraded,catharticella
stigmella catharticella,4.014,98,Stigmella catharticella,Buckthorn Pigmy,Micro-moth,Ungraded,catharticella
4.015,4.015,92,Stigmella anomalella,Rose Leaf-miner,Micro-moth,Ungraded,anomalella
92,4.015,92,Stigmella anomalella,Rose Leaf-miner,Micro-moth,Ungraded,anomalella
rose leaf-miner,4.015,92,Stigmella anomalella,Rose Leaf-miner,Micro-moth,Ungraded,anomalella
stano1,4.015,92,Stigmella anomalella,Rose Leaf-miner,Micro-moth,Ungraded,anomalella
stigmella anomalella,4.015,92,Stigmella anomalella,Rose Leaf-miner,Micro-moth,Ungraded,anomalella
4.016,4.016,94,Stigmella spinosissimae,Plain Rose Pigmy,Micro-moth,Ungraded,spinosissimae
94,4.016,94,Stigmella spinosissimae,Plain Rose Pigmy,Micro-moth,Ungraded,spinosissimae
plain rose pigmy,4.016,94,Stigmella spinosissimae,Plain Rose Pigmy,Micro-moth,Ungraded,spinosissimae
stigmella spinosissimae,4.016,94,Stigmella spinosissimae,Plain Rose Pigmy,Micro-moth,Ungraded,spinosissimae
stspi,4.016,94,Stigmella spinosissimae,Plain Rose Pigmy,Micro-moth,Ungraded,spinosissimae
4.017,4.017,93,Stigmella centifoliella,Narrow-barred Pigmy,Micro-moth,Ungraded,centifoliella
93,4.017,93,Stigmella centifoliella,Narrow-barred Pigmy,Micro-moth,Ungraded,centifoliella
narrow-barred pigmy,4.017,93,Stigmella centifoliella,Narrow-barred Pigmy,Micro-moth,Ungraded,centifoliella
stcen,4.017,93,Stigmella centifoliella,Narrow-barred Pigmy,Micro-moth,Ungraded,centifoliella
stigmella centifoliella,4.017,93,Stigmella centifoliella,Narrow-barred Pigmy,Micro-moth,Ungraded,centifoliella
4.018,4.018,80,Stigmella ulmivora,Barred Elm Pigmy,Micro-moth,Ungraded,ulmivora
80,4.018,80,Stigmella ulmivora,Barred Elm Pigmy,Micro-moth,Ungraded,ulmivora
barred elm pigmy,4.018,80,Stigmella ulmivora,Barred Elm Pigmy,Micro-moth,Ungraded,ulmivora
stigmella ulmivora,4.018,80,Stigmella ulmivora,Barred Elm Pigmy,Micro-moth,Ungraded,ulmivora
stulm,4.018,80,Stigmella ulmivora,Barred Elm Pigmy,Micro-moth,Ungraded,ulmivora
4.019,4.019,95,Stigmella viscerella,Plain Elm Pigmy,Micro-moth,Ungraded,viscerella
95,4.019,95,Stigmella viscerella,Plain Elm Pigmy,Micro-moth,Ungraded,viscerella
plain elm pigmy,4.019,95,Stigmella viscerella,Plain Elm Pigmy,Micro-moth,Ungraded,viscerella
stigmella viscerella,4.019,95,Stigmella viscerella,Plain Elm Pigmy,Micro-moth,Ungraded,viscerella
stvis,4.019,95,Stigmella viscerella,Plain Elm Pigmy,Micro-moth,Ungraded,viscerella
4.02,4.02,82,Stigmella paradoxa,Scarce Thorn Pigmy,Micro-moth,Ungraded,paradoxa
82,4.02,82,Stigmella paradoxa,Scarce Thorn Pigmy,Micro-moth,Ungraded,paradoxa
scarce thorn pigmy,4.02,82,Stigmella paradoxa,Scarce Thorn Pigmy,Micro-moth,Ungraded,paradoxa
stigmella paradoxa,4.02,82,Stigmella paradoxa,Scarce Thorn Pigmy,Micro-moth,Ungraded,paradoxa
stpar,4.02,82,Stigmella paradoxa,Scarce Thorn Pigmy,Micro-moth,Ungraded,paradoxa
4.021,4.021,106,Stigmella torminalis,Hereford Pigmy,Micro-moth,Ungraded,torminalis
106,4.021,106,Stigmella torminalis,Hereford Pigmy,Micro-moth,Ungraded,torminalis
hereford pigmy,4.021,106,Stigmella torminalis,Hereford Pigmy,Micro-moth,Ungraded,torminalis
stigmella torminalis,4.021,106,Stigmella torminalis,Hereford Pigmy,Micro-moth,Ungraded,torminalis
sttor,4.021,106,Stigmella torminalis,Hereford Pigmy,Micro-moth,Ungraded,torminalis
4.022,4.022,107,Stigmella regiella,Purple-shot Pigmy,Micro-moth,Ungraded,regiella
107,4.022,107,Stigmella regiella,Purple-shot Pigmy,Micro-moth,Ungraded,regiella
purple-shot pigmy,4.022,107,Stigmella regiella,Purple-shot Pigmy,Micro-moth,Ungraded,regiella
stigmella regiella,4.022,107,Stigmella regiella,Purple-shot Pigmy,Micro-moth,Ungraded,regiella
streg,4.022,107,Stigmella regiella,Purple-shot Pigmy,Micro-moth,Ungraded,regiella
4.023,4.023,108,Stigmella crataegella,Common Thorn Pigmy,Micro-moth,Ungraded,crataegella
108,4.023,108,Stigmella crataegella,Common Thorn Pigmy,Micro-moth,Ungraded,crataegella
common thorn pigmy,4.023,108,Stigmella crataegella,Common Thorn Pigmy,Micro-moth,Ungraded,crataegella
stcra,4.023,108,Stigmella crataegella,Common Thorn Pigmy,Micro-moth,Ungraded,crataegella
stigmella crataegella,4.023,108,Stigmella crataegella,Common Thorn Pigmy,Micro-moth,Ungraded,crataegella
4.024,4.024,104,Stigmella magdalenae,Northern Rowan Pigmy,Micro-moth,Ungraded,magdalenae
104,4.024,104,Stigmella magdalenae,Northern Rowan Pigmy,Micro-moth,Ungraded,magdalenae
northern rowan pigmy,4.024,104,Stigmella magdalenae,Northern Rowan Pigmy,Micro-moth,Ungraded,magdalenae
stigmella magdalenae,4.024,104,Stigmella magdalenae,Northern Rowan Pigmy,Micro-moth,Ungraded,magdalenae
stmag,4.024,104,Stigmella magdalenae,Northern Rowan Pigmy,Micro-moth,Ungraded,magdalenae
4.025,4.025,103,Stigmella nylandriella,Common Rowan Pigmy,Micro-moth,Ungraded,nylandriella
103,4.025,103,Stigmella nylandriella,Common Rowan Pigmy,Micro-moth,Ungraded,nylandriella
common rowan pigmy,4.025,103,Stigmella nylandriella,Common Rowan Pigmy,Micro-moth,Ungraded,nylandriella
stigmella nylandriella,4.025,103,Stigmella nylandriella,Common Rowan Pigmy,Micro-moth,Ungraded,nylandriella
stnyl,4.025,103,Stigmella nylandriella,Common Rowan Pigmy,Micro-moth,Ungraded,nylandriella
4.026,4.026,100,Stigmella oxyacanthella,Common Fruit-tree Pigmy,Micro-moth,Ungraded,oxyacanthella
100,4.026,100,Stigmella oxyacanthella,Common Fruit-tree Pigmy,Micro-moth,Ungraded,oxyacanthella
common fruit-tree pigmy,4.026,100,Stigmella oxyacanthella,Common Fruit-tree Pigmy,Micro-moth,Ungraded,oxyacanthella
stigmella oxyacanthella,4.026,100,Stigmella oxyacanthella,Common Fruit-tree Pigmy,Micro-moth,Ungraded,oxyacanthella
stoxy,4.026,100,Stigmella oxyacanthella,Common Fruit-tree Pigmy,Micro-moth,Ungraded,oxyacanthella
4.027,4.027,101,Stigmella pyri,Pear-tree Pigmy,Micro-moth,Ungraded,pyri
101,4.027,101,Stigmella pyri,Pear-tree Pigmy,Micro-moth,Ungraded,pyri
pear-tree pigmy,4.027,101,Stigmella pyri,Pear-tree Pigmy,Micro-moth,Ungraded,pyri
stigmella pyri,4.027,101,Stigmella pyri,Pear-tree Pigmy,Micro-moth,Ungraded,pyri
stpyr,4.027,101,Stigmella pyri,Pear-tree Pigmy,Micro-moth,Ungraded,pyri
4.028,4.028,91,Stigmella minusculella,Brown-tipped Pigmy,Micro-moth,Ungraded,minusculella
91,4.028,91,Stigmella minusculella,Brown-tipped Pigmy,Micro-moth,Ungraded,minusculella
brown-tipped pigmy,4.028,91,Stigmella minusculella,Brown-tipped Pigmy,Micro-moth,Ungraded,minusculella
stigmella minusculella,4.028,91,Stigmella minusculella,Brown-tipped Pigmy,Micro-moth,Ungraded,minusculella
stmin,4.028,91,Stigmella minusculella,Brown-tipped Pigmy,Micro-moth,Ungraded,minusculella
4.029,4.029,105,Stigmella desperatella,Scarce Apple Pigmy,Micro-moth,Ungraded,desperatella
105,4.029,105,Stigmella desperatella,Scarce Apple Pigmy,Micro-moth,Ungraded,desperatella
scarce apple pigmy,4.029,105,Stigmella desperatella,Scarce Apple Pigmy,Micro-moth,Ungraded,desperatella
stdes,4.029,105,Stigmella desperatella,Scarce Apple Pigmy,Micro-moth,Ungraded,desperatella
stigmella desperatella,4.029,105,Stigmella desperatella,Scarce Apple Pigmy,Micro-moth,Ungraded,desperatella
4.03,4.03,99,Stigmella hybnerella,Greenish Thorn Pigmy,Micro-moth,Ungraded,hybnerella
99,4.03,99,Stigmella hybnerella,Greenish Thorn Pigmy,Micro-moth,Ungraded,hybnerella
greenish thorn pigmy,4.03,99,Stigmella hybnerella,Greenish Thorn Pigmy,Micro-moth,Ungraded,hybnerella
sthyb,4.03,99,Stigmella hybnerella,Greenish Thorn Pigmy,Micro-moth,Ungraded,hybnerella
stigmella hybnerella,4.03,99,Stigmella hybnerella,Greenish Thorn Pigmy,Micro-moth,Ungraded,hybnerella
4.031,4.031,99a,Stigmella mespilicola,Wild-service Pigmy,Micro-moth,Ungraded,mespilicola
99a,4.031,99a,Stigmella mespilicola,Wild-service Pigmy,Micro-moth,Ungraded,mespilicola
stigmella mespilicola,4.031,99a,Stigmella mespilicola,Wild-service Pigmy,Micro-moth,Ungraded,mespilicola
stmes,4.031,99a,Stigmella mespilicola,Wild-service Pigmy,Micro-moth,Ungraded,mespilicola
wild-service pigmy,4.031,99a,Stigmella mespilicola,Wild-service Pigmy,Micro-moth,Ungraded,mespilicola
4.032,4.032,75,Stigmella floslactella,Coarse Hazel Pigmy,Micro-moth,Ungraded,floslactella
75,4.032,75,Stigmella floslactella,Coarse Hazel Pigmy,Micro-moth,Ungraded,floslactella
coarse hazel pigmy,4.032,75,Stigmella floslactella,Coarse Hazel Pigmy,Micro-moth,Ungraded,floslactella
stflo,4.032,75,Stigmella floslactella,Coarse Hazel Pigmy,Micro-moth,Ungraded,floslactella
stigmella floslactella,4.032,75,Stigmella floslactella,Coarse Hazel Pigmy,Micro-moth,Ungraded,floslactella
4.033,4.033,76,Stigmella carpinella,Hornbeam Pigmy,Micro-moth,Ungraded,carpinella
76,4.033,76,Stigmella carpinella,Hornbeam Pigmy,Micro-moth,Ungraded,carpinella
hornbeam pigmy,4.033,76,Stigmella carpinella,Hornbeam Pigmy,Micro-moth,Ungraded,carpinella
stcar1,4.033,76,Stigmella carpinella,Hornbeam Pigmy,Micro-moth,Ungraded,carpinella
stigmella carpinella,4.033,76,Stigmella carpinella,Hornbeam Pigmy,Micro-moth,Ungraded,carpinella
4.034,4.034,77,Stigmella tityrella,Small Beech Pigmy,Micro-moth,Ungraded,tityrella
77,4.034,77,Stigmella tityrella,Small Beech Pigmy,Micro-moth,Ungraded,tityrella
small beech pigmy,4.034,77,Stigmella tityrella,Small Beech Pigmy,Micro-moth,Ungraded,tityrella
stigmella tityrella,4.034,77,Stigmella tityrella,Small Beech Pigmy,Micro-moth,Ungraded,tityrella
sttit,4.034,77,Stigmella tityrella,Small Beech Pigmy,Micro-moth,Ungraded,tityrella
4.035,4.035,68,Stigmella salicis,Sallow Pigmy,Micro-moth,Ungraded,salicis
68,4.035,68,Stigmella salicis,Sallow Pigmy,Micro-moth,Ungraded,salicis
sallow pigmy,4.035,68,Stigmella salicis,Sallow Pigmy,Micro-moth,Ungraded,salicis
stigmella salicis,4.035,68,Stigmella salicis,Sallow Pigmy,Micro-moth,Ungraded,salicis
stsal,4.035,68,Stigmella salicis,Sallow Pigmy,Micro-moth,Ungraded,salicis
4.036,4.036,72,Stigmella myrtillella,Bilberry Pigmy,Micro-moth,Ungraded,myrtillella
72,4.036,72,Stigmella myrtillella,Bilberry Pigmy,Micro-moth,Ungraded,myrtillella
bilberry pigmy,4.036,72,Stigmella myrtillella,Bilberry Pigmy,Micro-moth,Ungraded,myrtillella
stigmella myrtillella,4.036,72,Stigmella myrtillella,Bilberry Pigmy,Micro-moth,Ungraded,myrtillella
stmyr,4.036,72,Stigmella myrtillella,Bilberry Pigmy,Micro-moth,Ungraded,myrtillella
4.037,4.037,71,Stigmella zelleriella,Sandhill Pigmy,Micro-moth,Ungraded,zelleriella
71,4.037,71,Stigmella zelleriella,Sandhill Pigmy,Micro-moth,Ungraded,zelleriella
sandhill pigmy,4.037,71,Stigmella zelleriella,Sandhill Pigmy,Micro-moth,Ungraded,zelleriella
stigmella zelleriella,4.037,71,Stigmella zelleriella,Sandhill Pigmy,Micro-moth,Ungraded,zelleriella
stzel,4.037,71,Stigmella zelleriella,Sandhill Pigmy,Micro-moth,Ungraded,zelleriella
4.038,4.038,70,Stigmella obliquella,Willow Pigmy,Micro-moth,Ungraded,obliquella
70,4.038,70,Stigmella obliquella,Willow Pigmy,Micro-moth,Ungraded,obliquella
stigmella obliquella,4.038,70,Stigmella obliquella,Willow Pigmy,Micro-moth,Ungraded,obliquella
